Región;Nombre Centro;Latitud;Longitud
Atlántico;CENTRO PARA EL DESARROLLO AGROECOLÓGICO Y AGROINDUSTRIAL;10,630256500000009;-74,91311610000002
Atlántico;​CENTRO NACIONAL COLOMBO ALEMÁN;10,86325510000003;-74,77690010000003
Atlántico;CENTRO INDUSTRIAL Y DE AVIACIÓN;10,941997500000003;-74,78265320000003
Atlántico;CENTRO COMERCIO Y SERVICIOS​;10,982750799999994;-74,78373499999992
Bolívar;CENTRO AGROEMPRESARIAL Y MINERO;10,373567800000007;-75,46053890000002
Bolívar;CENTRO INTERNACIONAL NÁUTICO FLUVIAL Y PORTUARIO;10,36915340000003;-75,50664800000004	
Bolívar;CENTRO PARA LA INDUSTRIA PETROQUÍMICA​;10,40603119999999;-75,50332550000002
Bolívar;CENTRO DE COMERCIO Y SERVICIOS​;10,3747735;-75,45934799999998
Cesar;CENTRO BIOTECNOLÓGICO DEL CARIBE;10,407319900000019;-73,23982000000001
Cesar;CENTRO AGROEMPRESARIAL;8,303014500000003;-73,59931159999996
Cesar;CENTRO DE OPERACIÓN Y MANTENIMIENTO MINERO​;10,470130299999997;-73,25856329999999
Cesar;DIRECCION REGIONAL DEL CESAR​;10,470427100000016;-73,25829120000003
Córdoba;CENTRO AGROPECUARIO Y DE BIOTECNOLOGÍA EL PORVENIR;8,546020000000016;-75,95524690000002
Córdoba;CENTRO COMERCIO, INDUSTRIA Y TURISMO​;8,748583200000006;-75,88013649999999
Guajira;CENTRO INDUS​TRIAL Y DE ENERGÍAS ALTERNATIVAS;11,385275900000003;-72,27274420000003
Guajira;CENTRO AGROEMPRESARIAL Y ACUÍCOLA;10,895271400000016;-72,82804729999998
Magdalena;CENTRO ACUÍCOLA Y AGROINDUSTRIAL DE GAIRA;11,19404200000002;-74,20621989999995
Magdalena;CENTRO DE LOGÍSTICA Y PROMOCIÓN ECOTURÍSTICA DEL MAGDALENA​;11,233796400000003;-74,20176209999994
San Andrés;CENTRO DE FORMACIÓN TURÍSTICA, GENTE DE MAR Y DE SERVICIOS​​;12,578062300000022;-81,69938649999995
Sucre;CENTRO DE LA INNOVACIÓN, LA TECNOLOGÍ​A Y LOS SERVICIOS​​;9,302887300000029;-75,38009669999997
Antioquia;CENTRO DE LOS RECURSOS NATURALES RENOVABLES LA SALADA;6,052800000000008;-75,62814789999999
Antioquia;CENTRO DE DISEÑO Y MANUFACTURA DEL CUERO;6,180635600000014;-75,60615870000004
Antioquia;CENTRO DE COMERCIO;6,25479260000001;-75,57536729999993
Antioquia;CENTRO DE FORMACIÓN EN DISEÑO, CONFECCIÓN Y MODA;6,180856900000005;-75,60607279999999
Antioquia;CENTRO DE LA INNOVACIÓN, LA AGROINDUSTRIA Y LA AVIACIÓN​;6,153969100000004;-75,37231159999999
Antioquia;CENTRO DE SERVICIOS DE SALUD;6,268631799999994;-75,54944660000001
Antioquia;CENTRO DE SERVICIOS Y GESTIÓN EMPRESARIAL;6,254219300000002;-75,57539409999993
Antioquia;CENTRO DE TECNOLOGÍA DE LA MANUFACTURA AVANZADA;6,300998300000011;-75,56875530000002
Antioquia;CENTRO PARA EL DESARROLLO DEL HÁBITAT Y LA CONSTRUCCIÓN;6,303658899999982;-75,5677521
Antioquia;CENTRO TECNOLÓGICO DEL MOBILIARIO;6,181056900000006;-75,60593339999997
Antioquia;COMPLEJO TECNOLÓGICO AGROINDUSTRIAL, PECUARIO Y TURÍSTICO;7,890471599999998;-76,63103340000004
Antioquia;COMPLEJO TECNOLÓGICO MINERO AGROEMPRESARIAL;6,537713700000026;-75,08801619999991
Antioquia;CENTRO TEXTIL Y DE GESTIÓN INDUSTRIAL​;6,301702100000013;-75,5686425999999
Antioquia;COMPLEJO TECNOLÓGICO TURÍSTICO Y AGROINDUSTRIAL DEL OCCIDENTE ANTIOQUEÑO​​;6,55909090000002;-75,82923800000003
Antioquia;CENTRO DE FORMACIÓN MINERO AMBIENTAL EL BAGRE​​;6,255501100000025;-75,5753671
Antioquia;COMPLEJO TECNOLÓGICO PARA LA GESTIÓN AGROEMPRESARIAL​​;7,996687900000023;-75,19636640000004
Distrito capital;CENTRO DE DISEÑO Y METROLOGÍA;4,616603499999997;-74,09229579999999
Distrito capital;CENTRO DE ELECTRICIDAD, ELECTRÓNICA Y TELECOMUNICACIONES;4,595698;-74,1545425
Distrito capital;CENTRO DE FORMACIÓN DE TALENTO HUMANO EN SALUD;4,631949600000014;-74,06321049999997
Distrito capital;CENTRO DE GESTIÓN ADMINISTRATIVA;4,604075400000017;-74,07935139999995
Distrito capital;CENTRO DE GESTIÓN DE MERCADOS, LOGÍSTICA Y TIC'S;4,639234700000014;-74,06618200000003
Distrito capital;CENTRO DE GESTIÓN INDUSTRIAL;4,6166587;-74,0920499
Distrito capital;CENTRO DE FORMACIÓN EN ACTIVIDAD FÍSICA Y CULTURA;4,6140236;-74,1679813
Distrito capital;CENTRO DE MANUFACTURAS EN TEXTILES Y CUERO;4,595168000000036;-74,11278809999999
Distrito capital;CENTRO DE MATERIALES Y ENSAYOS;4,595883800000008;-74,11074730000001
Distrito capital;CENTRO DE SERVICIOS FINANCIEROS;4,651734000000002;-74,06312500000001
Distrito capital;CENTRO DE TECNOLOGÍAS DE TRANSPORTE;4,592298;-74,1935539
Distrito capital;CENTRO DE TECNOLOGÍAS PARA LA CONSTRUCCIÓN Y LA MADERA;4,5923505000000135;-74,09397369999999
Distrito capital;CENTRO METALMECÁNICO;4,596133000000021;-74,11097489999997
Distrito capital;CENTRO NACIONAL DE HOTELERÍA, TURISMO Y ALIMENTOS;4,615896700000009;-74,09075009999992
Distrito capital;CENTRO PARA LA INDUSTRIA DE LA COMUNICACIÓN GRÁFICA​​;4,617052700000025;-74,091813
Boyacá;CENTRO DE DES​ARROLLO AGROPECUARIO Y AGROINDUSTRIAL;5,787603800000005;-73,05030049999999
Boyacá;CENTRO DE GESTIÓN ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL;5,8773616;-73,56848109999993
Boyacá;CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA;5,7941096999999955;-73,06288000000006
Boyacá;CENTRO MINERO;5,78707490000001;-73,05095779999999
Caldas;CENTRO DE AUTOMATIZACI​ÓN INDUSTRIAL;5,033181000000013;-75,45055030000003
Caldas;CENTRO DE COMERCIO Y SERVICIOS;5,031316000000006;-75,45165539999999
Caldas;CENTRO DE PROCESOS INDUSTRIALES Y CONSTRUCCIÓN​;5,032326000000017;-75,45009429999999
Caldas;CENTRO PARA LA FORMACIÓN CAFETERA;5,032610599999995;-75,45105050000001
Caldas;CENTRO PECUARIO Y AGROEMPRESARIAL​;5,477794100000018;-74,66871320000007
Cundinamarca;CENTRO DE BIOTECNOLOGÍA AGROPECUARIA;4,695767899999986;-74,21606589999999
